continent,country,network,netmask,src_addr,dst_addr,next_hop,input_iface,output_iface,pkts_sent,bytes_sent,start_time,end_time,src_port,dst_port,ip_proto,tos,src_as,dst_as,src_mask,dst_mask,tcp_flag_ACK,tcp_flag_CWR,tcp_flag_ECE,tcp_flag_FIN,tcp_flag_PSH,tcp_flag_RST,tcp_flag_SYN,tcp_flag_URG
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,22,1497,2073-05-17 23:12:57,2073-05-17 23:46:52,80,45650,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
EU,RO,89.44.100.92,15,89.44.100.124,100.10.20.4,0.0.0.0,0,0,40,2435,2073-05-11 11:40:12,2073-05-15 21:50:48,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,89.44.100.124,0.0.0.0,0,0,73,101099,2073-05-11 11:40:12,2073-05-15 21:50:48,80,41241,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.3,11,100.10.20.3,100.10.20.4,0.0.0.0,0,0,7,559,2073-05-15 21:50:36,2073-05-15 21:50:41,OTHER,2641,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,100.10.20.3,0.0.0.0,0,0,8,445,2073-05-15 21:50:36,2073-05-15 21:50:41,OTHER,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,5,337,2073-05-15 22:01:40,2073-05-15 22:01:52,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,4,478,2073-05-15 22:01:40,2073-05-15 22:01:52,80,44486,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,42,57216,2073-05-17 23:46:58,2073-05-18 00:20:21,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,24,1601,2073-05-17 23:46:58,2073-05-18 00:20:21,80,45661,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,100.1.10.69,11,100.1.10.101,100.10.20.20,0.0.0.0,0,0,12,1348,2073-05-15 22:50:54,2073-05-15 22:51:09,OTHER,5432,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
